                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.5104,                 1.4353,                 1.4157,                0.43007,                0.45291,                0.46607,                0.26287,                 1.4478,                 1.3298,                 1.4163,               0.006733,               0.006733,               0.006733
                     35,                 1.4954,                 1.4185,                 1.4073,                0.39256,                0.50604,                0.46386,                0.25576,                  1.471,                 1.3475,                 1.4292,               0.006634,               0.006634,               0.006634
                     36,                 1.4878,                 1.3822,                 1.3875,                0.47647,                0.45694,                0.47877,                 0.2683,                 1.4553,                 1.2984,                 1.4161,               0.006535,               0.006535,               0.006535
                     37,                 1.4872,                 1.3839,                 1.3966,                0.44742,                0.47877,                0.48665,                0.27759,                 1.4445,                 1.2379,                 1.4182,               0.006436,               0.006436,               0.006436
                     38,                 1.4844,                  1.389,                 1.3966,                0.40357,                0.46834,                0.45096,                0.25337,                 1.4552,                 1.3313,                 1.4278,               0.006337,               0.006337,               0.006337
                     39,                 1.4817,                  1.374,                 1.3875,                0.45761,                0.46899,                0.47249,                0.26192,                 1.4553,                 1.3072,                 1.4241,               0.006238,               0.006238,               0.006238
                     40,                 1.4728,                 1.3762,                 1.3789,                0.43456,                0.45509,                0.46053,                0.25972,                 1.5005,                 1.3423,                 1.4378,               0.006139,               0.006139,               0.006139
                     41,                 1.4643,                 1.3588,                 1.3867,                0.47306,                0.46396,                0.49577,                 0.2782,                   1.46,                 1.2552,                 1.4276,                0.00604,                0.00604,                0.00604
                     42,                 1.4524,                 1.3408,                 1.3679,                0.51588,                0.47349,                0.48354,                0.27376,                 1.4594,                  1.274,                 1.4203,               0.005941,               0.005941,               0.005941
                     43,                 1.4535,                 1.3352,                 1.3679,                0.42521,                0.47518,                0.46258,                0.25702,                 1.4565,                 1.2637,                 1.4225,               0.005842,               0.005842,               0.005842
                     44,                 1.4561,                 1.3266,                 1.3791,                0.46918,                0.48063,                 0.4872,                0.26862,                 1.4384,                 1.2652,                 1.4086,               0.005743,               0.005743,               0.005743
                     45,                 1.4424,                 1.3101,                 1.3628,                0.47455,                0.52179,                0.48818,                0.27323,                 1.4686,                 1.2817,                 1.4396,               0.005644,               0.005644,               0.005644
                     46,                 1.4365,                 1.3087,                 1.3589,                0.47827,                0.48653,                0.49282,                0.27968,                 1.4415,                 1.2871,                 1.4069,               0.005545,               0.005545,               0.005545
                     47,                 1.4389,                 1.3068,                  1.366,                0.42029,                0.53426,                 0.4735,                 0.2689,                 1.4545,                 1.2937,                 1.4177,               0.005446,               0.005446,               0.005446
                     48,                 1.4248,                 1.2903,                 1.3497,                0.46463,                0.50743,                0.48379,                0.28108,                 1.4425,                 1.2442,                 1.4153,               0.005347,               0.005347,               0.005347
                     49,                 1.4197,                 1.2909,                 1.3524,                0.45411,                0.49347,                 0.4841,                0.26837,                 1.4511,                  1.251,                 1.4239,               0.005248,               0.005248,               0.005248
                     50,                 1.4151,                 1.2773,                 1.3473,                0.50429,                0.51761,                0.50162,                0.28212,                  1.451,                 1.2394,                 1.4213,               0.005149,               0.005149,               0.005149
                     51,                 1.4029,                 1.2523,                 1.3463,                0.44489,                0.49645,                 0.4907,                0.28893,                 1.4544,                  1.233,                 1.4249,                0.00505,                0.00505,                0.00505
                     52,                 1.3985,                 1.2371,                 1.3422,                0.49172,                0.49454,                 0.4938,                0.27911,                 1.4506,                 1.2715,                 1.4196,               0.004951,               0.004951,               0.004951
                     53,                 1.3903,                 1.2377,                 1.3326,                0.51881,                0.43806,                0.49234,                0.27897,                 1.4783,                 1.2369,                 1.4372,               0.004852,               0.004852,               0.004852
                     54,                 1.3881,                 1.2236,                 1.3313,                0.46409,                0.53694,                 0.4917,                0.28108,                 1.4458,                 1.2313,                 1.4213,               0.004753,               0.004753,               0.004753
                     55,                 1.3826,                 1.2244,                 1.3258,                0.47396,                0.45726,                0.49303,                0.28212,                 1.4437,                  1.222,                 1.4241,               0.004654,               0.004654,               0.004654
                     56,                 1.3751,                 1.2051,                  1.317,                 0.4999,                0.50569,                0.47862,                0.26514,                 1.5022,                 1.2578,                 1.4474,               0.004555,               0.004555,               0.004555
                     57,                 1.3684,                 1.2092,                 1.3149,                0.50211,                0.50683,                0.47907,                 0.2744,                 1.4818,                 1.2418,                 1.4474,               0.004456,               0.004456,               0.004456
                     58,                 1.3689,                 1.1889,                 1.3155,                0.49809,                0.45943,                0.48259,                0.27912,                  1.444,                 1.2478,                 1.4282,               0.004357,               0.004357,               0.004357
                     59,                 1.3567,                 1.1895,                 1.3087,                0.47688,                0.48192,                0.47995,                0.26734,                 1.4898,                 1.2553,                 1.4566,               0.004258,               0.004258,               0.004258
                     60,                 1.3576,                 1.1746,                  1.299,                0.48142,                0.51936,                0.48799,                0.27576,                 1.4876,                 1.2325,                 1.4384,               0.004159,               0.004159,               0.004159
                     61,                 1.3538,                 1.1741,                 1.3059,                0.46258,                0.48958,                0.49043,                0.27802,                 1.4836,                 1.2426,                 1.4467,                0.00406,                0.00406,                0.00406
                     62,                 1.3472,                 1.1598,                 1.3003,                0.47279,                 0.4994,                0.47308,                 0.2654,                 1.4987,                 1.2551,                 1.4452,               0.003961,               0.003961,               0.003961
                     63,                 1.3452,                  1.147,                 1.2966,                0.51531,                 0.4736,                0.47411,                0.26868,                 1.4996,                 1.2511,                   1.45,               0.003862,               0.003862,               0.003862
